"GEO_ID","NAME","B19013_001E","B19013_001M","POPGROUP","POPGROUP_LABEL",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Race/Ethnic Group","Population Groups",
"1400000US36005028500","Census Tract 285; Bronx County; New York","54232","7979","001","Total population",
"1400000US36005028600","Census Tract 286; Bronx County; New York","61563","15252","001","Total population",
"1400000US36005028700","Census Tract 287; Bronx County; New York","51692","5836","001","Total population",
"1400000US36005028800","Census Tract 288; Bronx County; New York","91125","19099","001","Total population",
"1400000US36005028900","Census Tract 289; Bronx County; New York","47361","11842","001","Total population",
"1400000US36005029301","Census Tract 293.01; Bronx County; New York","102045","16177","001","Total population",
"1400000US36005029302","Census Tract 293.02; Bronx County; New York","94695","3647","001","Total population",
"1400000US36005029500","Census Tract 295; Bronx County; New York","100750","16363","001","Total population",
"1400000US36005029600","Census Tract 296; Bronx County; New York","49013","9666","001","Total population",
"1400000US36005029700","Census Tract 297; Bronx County; New York","93452","13777","001","Total population",
"1400000US36005030000","Census Tract 300; Bronx County; New York","51806","10669","001","Total population",
"1400000US36005030100","Census Tract 301; Bronx County; New York","76771","20774","001","Total population",
"1400000US36005030200","Census Tract 302, Bronx County, New York","51536","6264","001","Total population",
"1400000US36005030701","Census Tract 307.01; Bronx County; New York","80846","5933","001","Total population",
"1400000US36005030900","Census Tract 309; Bronx County; New York","87238","18206","001","Total population",
"1400000US36005031000","Census Tract 310; Bronx County; New York","80724","14256","001","Total population",
"1400000US36005031200","Census Tract 312; Bronx County; New York","62275","13663","001","Total population",
"1400000US36005031400","Census Tract 314; Bronx County; New York","83393","11769","001","Total population",
"1400000US36005031600","Census Tract 316; Bronx County; New York","70759","8262","001","Total population",
"1400000US36005031800","Census Tract 318; Bronx County; New York","55739","9929","001","Total population",
"1400000US36005031900","Census Tract 319; Bronx County; New York","null","null","001","Total population",
"1400000US36005032300","Census Tract 323; Bronx County; New York","87483","10229","001","Total population",
"1400000US36005032400","Census Tract 324; Bronx County; New York","27946","6160","001","Total population",
"1400000US36005032600","Census Tract 326; Bronx County; New York","56429","13031","001","Total population",
"1400000US36005032800","Census Tract 328; Bronx County; New York","30089","6710","001","Total population",
"1400000US36005033000","Census Tract 330; Bronx County; New York","37811","3593","001","Total population",
"1400000US36005033201","Census Tract 332.01; Bronx County; New York","43038","6209","001","Total population",
"1400000US36005033202","Census Tract 332.02; Bronx County; New York","40638","10547","001","Total population",
"1400000US36005033400","Census Tract 334; Bronx County; New York","45739","7790","001","Total population",
"1400000US36005033500","Census Tract 335; Bronx County; New York","86983","14999","001","Total population",
"1400000US36005033600","Census Tract 336, Bronx County, New York","26071","11570","001","Total population",
"1400000US36005033700","Census Tract 337; Bronx County; New York","83917","12710","001","Total population",
"1400000US36005033800","Census Tract 338, Bronx County, New York","37043","5282","001","Total population",
"1400000US36005034000","Census Tract 340; Bronx County; New York","34290","8995","001","Total population",
"1400000US36005034200","Census Tract 342; Bronx County; New York","43304","10429","001","Total population",
"1400000US36005034300","Census Tract 343; Bronx County; New York","71780","3693","001","Total population",
"1400000US36005034400","Census Tract 344; Bronx County; New York","67813","17958","001","Total population",
"1400000US36005034500","Census Tract 345; Bronx County; New York","61938","23178","001","Total population",
"1400000US36005034800","Census Tract 348; Bronx County; New York","36156","2335","001","Total population",
"1400000US36005035000","Census Tract 350; Bronx County; New York","52344","13729","001","Total population",
"1400000US36005035100","Census Tract 351; Bronx County; New York","71913","9276","001","Total population",
"1400000US36005035600","Census Tract 356; Bronx County; New York","60694","13445","001","Total population",
"1400000US36005035800","Census Tract 358; Bronx County; New York","64957","11334","001","Total population",
"1400000US36005035900","Census Tract 359; Bronx County; New York","22250","7615","001","Total population",
