"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US360050073002","Block Group 2; Census Tract 73; Bronx County; New York","52829","41933",
"1500000US360050073003","Block Group 3; Census Tract 73; Bronx County; New York","33100","11828",
"1500000US360050074001","Block Group 1; Census Tract 74; Bronx County; New York","93088","74073",
"1500000US360050074002","Block Group 2; Census Tract 74; Bronx County; New York","30595","25696",
"1500000US360050074003","Block Group 3; Census Tract 74; Bronx County; New York","53198","12408",
"1500000US360050075001","Block Group 1; Census Tract 75; Bronx County; New York","34806","18661",
"1500000US360050075002","Block Group 2; Census Tract 75; Bronx County; New York","42952","21878",
"1500000US360050075003","Block Group 3; Census Tract 75; Bronx County; New York","-","**",
"1500000US360050075004","Block Group 4; Census Tract 75; Bronx County; New York","28281","23999",
"1500000US360050076001","Block Group 1; Census Tract 76; Bronx County; New York","79760","39551",
"1500000US360050076002","Block Group 2; Census Tract 76; Bronx County; New York","35994","27522",
"1500000US360050076003","Block Group 3; Census Tract 76; Bronx County; New York","47917","27354",
"1500000US360050076004","Block Group 4; Census Tract 76; Bronx County; New York","46375","26715",
"1500000US360050076005","Block Group 5; Census Tract 76; Bronx County; New York","72386","28333",
"1500000US360050077001","Block Group 1; Census Tract 77; Bronx County; New York","48846","15203",
"1500000US360050078001","Block Group 1; Census Tract 78; Bronx County; New York","163424","74371",
"1500000US360050078002","Block Group 2; Census Tract 78; Bronx County; New York","58050","37543",
"1500000US360050078003","Block Group 3; Census Tract 78; Bronx County; New York","-","**",
"1500000US360050078004","Block Group 4; Census Tract 78; Bronx County; New York","69931","19889",
"1500000US360050079001","Block Group 1; Census Tract 79; Bronx County; New York","-","**",
"1500000US360050079002","Block Group 2; Census Tract 79; Bronx County; New York","-","**",
"1500000US360050079003","Block Group 3; Census Tract 79; Bronx County; New York","-","**",
"1500000US360050079004","Block Group 4; Census Tract 79; Bronx County; New York","56469","10944",
"1500000US360050079005","Block Group 5; Census Tract 79; Bronx County; New York","52873","42169",
"1500000US360050079006","Block Group 6; Census Tract 79; Bronx County; New York","-","**",
"1500000US360050083001","Block Group 1; Census Tract 83; Bronx County; New York","76944","21196",
"1500000US360050083002","Block Group 2; Census Tract 83; Bronx County; New York","37365","28213",
"1500000US360050083003","Block Group 3; Census Tract 83; Bronx County; New York","112118","104311",
"1500000US360050083004","Block Group 4; Census Tract 83; Bronx County; New York","44709","10626",
"1500000US360050083005","Block Group 5; Census Tract 83; Bronx County; New York","51265","23044",
"1500000US360050083006","Block Group 6; Census Tract 83; Bronx County; New York","37702","22891",
"1500000US360050084001","Block Group 1; Census Tract 84; Bronx County; New York","71092","10447",
"1500000US360050084002","Block Group 2; Census Tract 84; Bronx County; New York","54736","33897",
"1500000US360050085001","Block Group 1; Census Tract 85; Bronx County; New York","69375","64088",
"1500000US360050085002","Block Group 2; Census Tract 85; Bronx County; New York","29310","13841",
"1500000US360050085003","Block Group 3; Census Tract 85; Bronx County; New York","70313","54924",
"1500000US360050085004","Block Group 4; Census Tract 85; Bronx County; New York","14413","9809",
"1500000US360050085005","Block Group 5; Census Tract 85; Bronx County; New York","34250","10253",
"1500000US360050086001","Block Group 1; Census Tract 86; Bronx County; New York","55500","34578",
"1500000US360050086002","Block Group 2; Census Tract 86; Bronx County; New York","-","**",
"1500000US360050086003","Block Group 3; Census Tract 86; Bronx County; New York","14442","10090",
"1500000US360050087001","Block Group 1; Census Tract 87; Bronx County; New York","44402","20725",
"1500000US360050087002","Block Group 2; Census Tract 87; Bronx County; New York","35658","29580",
"1500000US360050087003","Block Group 3; Census Tract 87; Bronx County; New York","-","**",
"1500000US360050087004","Block Group 4; Census Tract 87; Bronx County; New York","-","**",
"1500000US360050087005","Block Group 5; Census Tract 87; Bronx County; New York","23144","14451",
"1500000US360050089001","Block Group 1; Census Tract 89; Bronx County; New York","28112","15644",
"1500000US360050089002","Block Group 2; Census Tract 89; Bronx County; New York","58509","12241",
"1500000US360050090000","Block Group 0; Census Tract 90; Bronx County; New York","-","**",
"1500000US360050090001","Block Group 1; Census Tract 90; Bronx County; New York","-","**",
"1500000US360050090002","Block Group 2; Census Tract 90; Bronx County; New York","-","**",
"1500000US360050090003","Block Group 3; Census Tract 90; Bronx County; New York","50153","33808",
"1500000US360050090004","Block Group 4; Census Tract 90; Bronx County; New York","40667","20419",
"1500000US360050090005","Block Group 5; Census Tract 90; Bronx County; New York","11675","1460",
"1500000US360050092001","Block Group 1; Census Tract 92; Bronx County; New York","55669","22655",
"1500000US360050092002","Block Group 2; Census Tract 92; Bronx County; New York","71806","38355",
"1500000US360050092003","Block Group 3; Census Tract 92; Bronx County; New York","44500","23298",
"1500000US360050092004","Block Group 4; Census Tract 92; Bronx County; New York","68723","29359",
"1500000US360050092005","Block Group 5; Census Tract 92; Bronx County; New York","-","**",
"1500000US360050093011","Block Group 1; Census Tract 93.01; Bronx County; New York","49853","14500",
"1500000US360050093012","Block Group 2; Census Tract 93.01; Bronx County; New York","38953","20690",
"1500000US360050093013","Block Group 3; Census Tract 93.01; Bronx County; New York","58235","44018",
"1500000US360050093014","Block Group 4; Census Tract 93.01; Bronx County; New York","42115","16710",
"1500000US360050093015","Block Group 5; Census Tract 93.01; Bronx County; New York","-","**",
"1500000US360050093016","Block Group 6; Census Tract 93.01; Bronx County; New York","-","**",
"1500000US360050093020","Block Group 0; Census Tract 93.02; Bronx County; New York","-","**",
"1500000US360050093021","Block Group 1; Census Tract 93.02; Bronx County; New York","-","**",
"1500000US360050093022","Block Group 2; Census Tract 93.02; Bronx County; New York","-","**",
"1500000US360050096001","Block Group 1; Census Tract 96; Bronx County; New York","62679","12228",
"1500000US360050096002","Block Group 2; Census Tract 96; Bronx County; New York","-","**",
"1500000US360050098001","Block Group 1; Census Tract 98; Bronx County; New York","120625","27429",
"1500000US360050098002","Block Group 2; Census Tract 98; Bronx County; New York","48897","31450",
"1500000US360050098003","Block Group 3; Census Tract 98; Bronx County; New York","86552","26169",
"1500000US360050098004","Block Group 4; Census Tract 98; Bronx County; New York","118454","68869",
"1500000US360050098005","Block Group 5; Census Tract 98; Bronx County; New York","41250","16144",
"1500000US360050110000","Block Group 0; Census Tract 110; Bronx County; New York","-","**",
"1500000US360050110001","Block Group 1; Census Tract 110; Bronx County; New York","-","**",
"1500000US360050115021","Block Group 1; Census Tract 115.02; Bronx County; New York","28070","8220",
"1500000US360050115022","Block Group 2; Census Tract 115.02; Bronx County; New York","19495","12969",
"1500000US360050115023","Block Group 3; Census Tract 115.02; Bronx County; New York","52798","15371",
"1500000US360050117011","Block Group 1; Census Tract 117.01; Bronx County; New York","33967","13069",
"1500000US360050117012","Block Group 2; Census Tract 117.01; Bronx County; New York","-","**",
"1500000US360050117020","Block Group 0; Census Tract 117.02; Bronx County; New York","-","**",
"1500000US360050117021","Block Group 1; Census Tract 117.02; Bronx County; New York","-","**",
"1500000US360050118000","Block Group 0; Census Tract 118; Bronx County; New York","-","**",
"1500000US360050118001","Block Group 1; Census Tract 118; Bronx County; New York","143621","52715",
"1500000US360050118002","Block Group 2; Census Tract 118; Bronx County; New York","91429","13121",
"1500000US360050118003","Block Group 3; Census Tract 118; Bronx County; New York","108750","24895",
"1500000US360050119001","Block Group 1; Census Tract 119; Bronx County; New York","75208","57947",
"1500000US360050119002","Block Group 2; Census Tract 119; Bronx County; New York","32083","26906",
"1500000US360050119003","Block Group 3; Census Tract 119; Bronx County; New York","-","**",
"1500000US360050119004","Block Group 4; Census Tract 119; Bronx County; New York","28910","15222",
"1500000US360050119005","Block Group 5; Census Tract 119; Bronx County; New York","11857","4659",
"1500000US360050121011","Block Group 1; Census Tract 121.01; Bronx County; New York","39300","14990",
"1500000US360050121012","Block Group 2; Census Tract 121.01; Bronx County; New York","76023","31840",
"1500000US360050121021","Block Group 1; Census Tract 121.02; Bronx County; New York","43472","24793",
"1500000US360050123001","Block Group 1; Census Tract 123; Bronx County; New York","35875","16565",
"1500000US360050123002","Block Group 2; Census Tract 123; Bronx County; New York","51776","37275",
"1500000US360050123003","Block Group 3; Census Tract 123; Bronx County; New York","41213","10358",
"1500000US360050123004","Block Group 4; Census Tract 123; Bronx County; New York","-","**",
"1500000US360050123005","Block Group 5; Census Tract 123; Bronx County; New York","-","**",
"1500000US360050123006","Block Group 6; Census Tract 123; Bronx County; New York","-","**",
"1500000US360050125001","Block Group 1; Census Tract 125; Bronx County; New York","45893","12765",
"1500000US360050125002","Block Group 2; Census Tract 125; Bronx County; New York","64103","24358",
"1500000US360050127011","Block Group 1; Census Tract 127.01; Bronx County; New York","31538","15788",
"1500000US360050127012","Block Group 2; Census Tract 127.01; Bronx County; New York","81250","62447",
"1500000US360050129011","Block Group 1; Census Tract 129.01; Bronx County; New York","-","**",
"1500000US360050129012","Block Group 2; Census Tract 129.01; Bronx County; New York","36582","18125",
"1500000US360050130001","Block Group 1; Census Tract 130; Bronx County; New York","59083","22775",
"1500000US360050131001","Block Group 1; Census Tract 131; Bronx County; New York","15625","5384",
"1500000US360050131002","Block Group 2; Census Tract 131; Bronx County; New York","31319","18532",
"1500000US360050131003","Block Group 3; Census Tract 131; Bronx County; New York","-","**",
"1500000US360050131004","Block Group 4; Census Tract 131; Bronx County; New York","-","**",
"1500000US360050132000","Block Group 0; Census Tract 132; Bronx County; New York","-","**",
"1500000US360050132001","Block Group 1; Census Tract 132; Bronx County; New York","-","**",
"1500000US360050132002","Block Group 2; Census Tract 132; Bronx County; New York","165632","41695",
"1500000US360050132003","Block Group 3; Census Tract 132; Bronx County; New York","44698","24553",
"1500000US360050132004","Block Group 4; Census Tract 132; Bronx County; New York","-","**",
"1500000US360050132005","Block Group 5; Census Tract 132; Bronx County; New York","113939","55843",
"1500000US360050133001","Block Group 1; Census Tract 133; Bronx County; New York","30955","9206",
"1500000US360050133002","Block Group 2; Census Tract 133; Bronx County; New York","-","**",
"1500000US360050133003","Block Group 3; Census Tract 133; Bronx County; New York","-","**",
"1500000US360050133004","Block Group 4; Census Tract 133; Bronx County; New York","47222","30029",
"1500000US360050135001","Block Group 1; Census Tract 135; Bronx County; New York","57587","54232",
"1500000US360050135002","Block Group 2; Census Tract 135; Bronx County; New York","-","**",
"1500000US360050135003","Block Group 3; Census Tract 135; Bronx County; New York","35281","33630",
"1500000US360050138000","Block Group 0; Census Tract 138; Bronx County; New York","-","**",
"1500000US360050138001","Block Group 1; Census Tract 138; Bronx County; New York","77917","16840",
"1500000US360050138002","Block Group 2; Census Tract 138; Bronx County; New York","89107","68226",
"1500000US360050141001","Block Group 1; Census Tract 141; Bronx County; New York","28110","14304",
"1500000US360050141002","Block Group 2; Census Tract 141; Bronx County; New York","38942","13208",
