,GEOID,B19013_001E
1283,360470052011,22625
1284,360470052020,-
1285,360470052021,111900
1286,360470052022,95865
1287,360470053010,-
1288,360470053011,168594
1289,360470053012,129500
1290,360470053020,-
1291,360470053021,-
1292,360470053022,-
1293,360470053023,128182
1294,360470053031,-
1295,360470054000,-
1296,360470054001,79278
1297,360470054002,81806
1298,360470054003,64859
1299,360470056010,-
1300,360470056011,59500
1301,360470056012,77542
1302,360470056020,-
1303,360470056021,97750
1304,360470058001,60625
1305,360470058002,73517
1306,360470058003,132434
1307,360470059001,102647
1308,360470059002,104896
1309,360470060001,52366
1310,360470060002,88068
1311,360470060003,93469
1312,360470062001,72716
1313,360470062002,60724
1314,360470062003,233315
1315,360470063001,189464
1316,360470063002,172578
1317,360470064001,-
1318,360470064002,90658
1319,360470064003,82377
1320,360470065001,198393
1321,360470065002,143529
1322,360470065003,187768
1323,360470065004,185197
1324,360470065005,138913
1325,360470065006,223882
1326,360470065007,-
1327,360470066001,63750
1328,360470066002,88611
1329,360470066003,98989
1330,360470067001,-
1331,360470067002,"250,000+"
1332,360470067003,218333
1333,360470067004,149250
1334,360470067005,220313
1335,360470068001,89261
1336,360470068002,56458
1337,360470068003,130875
1338,360470068004,36144
1339,360470069011,139728
1340,360470069012,128173
1341,360470069021,"250,000+"
1342,360470069022,215542
1343,360470070001,80361
1344,360470070002,87250
1345,360470071001,163750
1346,360470071002,37168
1347,360470071003,-
1348,360470072001,63352
1349,360470074001,71750
1350,360470074002,65000
1351,360470074003,90643
1352,360470074004,68162
1353,360470075001,202906
1354,360470075002,160993
1355,360470075003,129286
1356,360470075004,182722
1357,360470075005,71276
1358,360470076001,55609
1359,360470076002,42772
1360,360470076003,70184
1361,360470077001,200533
1362,360470077002,198715
1363,360470077003,174766
1364,360470077004,227411
1365,360470078001,46912
1366,360470078002,62788
1367,360470078003,49891
1368,360470078004,92202
1369,360470080001,90475
1370,360470080002,-
1371,360470080003,59375
1372,360470082001,51383
1373,360470082002,42868
1374,360470082003,42880
1375,360470084001,146149
1376,360470084002,97054
1377,360470084003,58357
1378,360470085001,16393
1379,360470085002,43058
1380,360470085003,14515
1381,360470086001,-
1382,360470088001,62586
